"","week","home_team","home_points","away_team","away_points","conference_game"
"241",4,"Rutgers",16,"Boston College",30,FALSE
"242",4,"Wake Forest",49,"Elon",7,FALSE
"243",4,"Wisconsin",35,"Michigan",14,TRUE
"244",4,"UMass",28,"Coastal Carolina",62,FALSE
"245",4,"Ohio",25,"Louisiana",45,FALSE
"246",4,"Akron",7,"Troy",35,FALSE
"247",4,"Eastern Michigan",34,"Central Connecticut",29,FALSE
"248",4,"BYU",19,"Washington",45,FALSE
"249",4,"TCU",38,"SMU",41,FALSE
"250",4,"UAB",35,"South Alabama",3,FALSE
"251",4,"Florida State",35,"Louisville",24,TRUE
"252",4,"Ohio State",76,"Miami (OH)",5,FALSE
"253",4,"North Carolina",31,"Appalachian State",34,FALSE
"254",4,"Tulsa",24,"Wyoming",21,FALSE
"255",4,"Kent State",62,"Bowling Green",20,TRUE
"256",4,"Buffalo",38,"Temple",22,FALSE
"257",4,"Texas A&M",20,"Auburn",28,TRUE
"258",4,"Pittsburgh",35,"UCF",34,FALSE
"259",4,"Mississippi State",28,"Kentucky",13,TRUE
"260",4,"Miami",17,"Central Michigan",12,FALSE
"261",4,"Missouri",34,"South Carolina",14,TRUE
"262",4,"Kansas",24,"West Virginia",29,TRUE
"263",4,"New Mexico",55,"New Mexico State",52,FALSE
"264",4,"East Carolina",19,"William & Mary",7,FALSE
"265",4,"Florida Atlantic",42,"Wagner",7,FALSE
"266",4,"Liberty",62,"Hampton",27,FALSE
"267",4,"Texas State",37,"Georgia State",34,TRUE
"268",4,"Rice",13,"Baylor",21,FALSE
"269",4,"NC State",34,"Ball State",23,FALSE
"270",4,"Arkansas State",41,"Southern Illinois",28,FALSE
"271",4,"Virginia",28,"Old Dominion",17,FALSE
"272",4,"Stanford",6,"Oregon",21,TRUE
"273",4,"Clemson",52,"Charlotte",10,FALSE
"274",4,"Texas",36,"Oklahoma State",30,TRUE
"275",4,"Arkansas",24,"San José State",31,FALSE
"276",4,"North Texas",45,"UT San Antonio",3,TRUE
"277",4,"UTEP",21,"Nevada",37,FALSE
"278",4,"Georgia",23,"Notre Dame",17,FALSE
"279",4,"Illinois",38,"Nebraska",42,TRUE
"280",4,"Arizona State",31,"Colorado",34,TRUE
"281",4,"Fresno State",34,"Sacramento State",20,FALSE
"282",4,"Colorado State",35,"Toledo",41,FALSE
"283",4,"San Diego State",17,"Utah State",23,TRUE
"284",4,"Washington State",63,"UCLA",67,TRUE
"285",4,"Hawai'i",35,"Central Arkansas",16,FALSE
"286",5,"Memphis",35,"Navy",23,TRUE
"287",5,"Virginia Tech",10,"Duke",45,TRUE
"288",5,"Maryland",0,"Penn State",59,TRUE
"289",5,"Air Force",41,"San José State",24,TRUE
"290",5,"California",17,"Arizona State",24,TRUE
"291",5,"TCU",51,"Kansas",14,TRUE
"292",5,"Michigan",52,"Rutgers",0,TRUE
"293",5,"Arkansas",27,"Texas A&M",31,TRUE
"294",5,"Toledo",28,"BYU",21,FALSE
"295",5,"Miami (OH)",34,"Buffalo",20,TRUE
"296",5,"Western Michigan",31,"Central Michigan",15,TRUE
"297",5,"Wisconsin",24,"Northwestern",15,TRUE
